GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,6.3,6.3 [5.2-7.7],5.2,7.7
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,7.0,7.0 [5.9-8.3],5.9,8.3
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,4.8,4.8 [3.4-6.7],3.4,6.7
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2002,2002,2002,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,2.496569,2.5 [1.1-4.7],1.1240777,4.6809461
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS6-11,6 to 11 months,0.6,0.6 [0.1-2.7],0.1,2.7
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS24-35,24 to 35 months,1.8,1.8 [1.1-2.9],1.1,2.9
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,WEALTHDECILE,WEALTHDECILE_TOTL,Total,6.9,6.9 [6.2-7.8],6.2,7.8
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,10.3,10.3 [7.3-14.3],7.3,14.3
NUT_BF_CBF,Continued breastfeeding 12-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continued-breastfeeding-12-23-months,2010,2010,2010,AFR,Africa,RWA,Rwanda,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP60,Wealth - Top 60%,86.8,86.8 [84.2-89.0],84.2,89.0
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,49.9,49.9 [42.9-56.9],42.9,56.9
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28crude-estimate%29-%28-%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,0.49640178,0.5 [0.3-0.7],0.34180894,0.69536441
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS18-23,18 to 23 months,4.7,4.7 [2.9-7.5],2.9,7.5
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1998,1998,1998,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,4.8211262,4.8 [3.8-6.1],3.7701517,6.0747977
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS12-59,12 to 59 months,1.5,1.5 [1.2-2.1],1.2,2.1
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS30-35,30 to 35 months,9.9,9.9 [7.5-13.0],7.5,13.0
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM80,Wealth - Bottom 80%,20.1,20.1 [18.6-21.8],18.6,21.8
NUT_CF_ZVF,"Zero vegetable or fruit consumption, 6-23 months",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/zero-vegetable-or-fruit-consumption--6-23-months,2018,2018,2018,AFR,Africa,RWA,Rwanda,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,24.0,24.0 [21.8-26.4],21.8,26.4
NUT_BF_EBF2D,Exclusively breastfed for the first two days after birth,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusively-breastfed-for-the-first-two-days-after-birth,2020,2020,2020,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,96.4,96.4 [94.0-97.9],94.0,97.9
NUT_BF_EBF,Exclusive breastfeeding under six months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusive-breastfeeding-under-six-months,2020,2020,2020,AFR,Africa,RWA,Rwanda,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM40,Wealth - Bottom 40%,83.8,83.8 [79.3-87.4],79.3,87.4
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,51.3,51.3 [47.1-55.4],47.1,55.4
NUT_CF_MDD,Minimum dietary diversity 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/minimum-dietary-diversity-6-23-months,2018,2018,2018,AFR,Africa,RWA,Rwanda,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM80,Wealth - Bottom 80%,21.9,21.9 [19.6-24.4],19.6,24.4
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,1992,1992,1992,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,23.7,23.7 [21.1-26.4],21.1,26.4
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS36-47,36 to 47 months,0.0,0.0 [0.0-0.0],0.0,0.0
NUT_CF_MAD,Minimum Acceptable Diet 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/minimum-acceptable-diet-6-23-months,2020,2020,2020,AFR,Africa,RWA,Rwanda,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM40,Wealth - Bottom 40%,12.3,12.3 [10.3-14.7],10.3,14.7
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,516.6,516.6 [275.3-880.7],275.3,880.7
NUT_BF_CBF,Continued breastfeeding 12-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continued-breastfeeding-12-23-months,2015,2015,2015,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_HIGHER,Higher education,66.9,66.9 [48.5-81.3],48.5,81.3
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,1992,1992,1992,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,4.5,4.5 [2.8-7.0],2.8,7.0
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,7.9,7.9 [4.9-12.5],4.9,12.5
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_YEARSALL,Total (All ages),7.9,7.9 [7.1-8.9],7.1,8.9
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,0.4,0.4,,
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,6.7,6.7 [4.3-10.3],4.3,10.3
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,6.0,6.0 [4.7-7.7],4.7,7.7
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/egg-and-or-flesh-food-consumption-6-23-months,2010,2010,2010,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,19.1,19.1 [16.8-21.7],16.8,21.7
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS12-17,12 to 17 months,2.2,2.2 [0.8-5.7],0.8,5.7
NUT_BF_EBF,Exclusive breastfeeding under six months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusive-breastfeeding-under-six-months,2015,2015,2015,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_TOTL,Total,86.9,86.9 [84.1-89.3],84.1,89.3
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/egg-and-or-flesh-food-consumption-6-23-months,2018,2018,2018,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,17.7,17.7 [14.7-21.1],14.7,21.1
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,0.72819679,0.7 [0.4-1.2],0.42107045,1.172335
NUT_BF_EVBF,Ever breastfed,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ever-breastfed,1992,1992,1992,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),97.3,97.3,,
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,8.16129,8.2 [3.0-15.8],3.0058721,15.848641
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,9.8,9.8 [8.5-11.2],8.5,11.2
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,7.9,7.9 [6.9-9.0],6.9,9.0
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,0.0,0.0 [0.0-0.0],0.0,0.0
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,WEALTHTERCILE,WEALTHTERCILE_TOTL,Total,12.3,12.3,,
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,18.8,18.8 [17.0-20.7],17.0,20.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,15.5,15.5 [11.0-21.2],11.0,21.2
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,1996,1996,1996,AFR,Africa,RWA,Rwanda,,,,22.6,22.6,,
NUT_CF_ISSSF,"Introduction of solid, semi-solid or soft foods 6-8 months",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/introduction-of-solid--semi-solid-or-soft-foods-6-8-months,2018,2018,2018,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,81.4,81.4 [74.0-87.1],74.0,87.1
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,9.3,9.3 [8.2-10.6],8.2,10.6
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1994,1994,1994,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,10.688329,10.7 [7.3-14.6],7.27368,14.562418
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1993,1993,1993,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,5.6764156,5.7 [3.0-9.4],3.0320169,9.4169304
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,0.5,0.5 [0.2-1.1],0.2,1.1
NUT_CF_ZVF,"Zero vegetable or fruit consumption, 6-23 months",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/zero-vegetable-or-fruit-consumption--6-23-months,2018,2018,2018,AFR,Africa,RWA,Rwanda,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM60,Wealth - Bottom 60%,27.0,27.0 [24.2-30.0],24.2,30.0
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,7.7,7.7 [6.8-8.6],6.8,8.6
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS36-47,36 to 47 months,10.4,10.4 [8.5-12.6],8.5,12.6
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28crude-estimate%29-%28-%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,12.199225,12.2 [8.9-15.9],8.9246228,15.922588
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS48-59,48 to 59 months,2.7,2.7 [1.7-4.3],1.7,4.3
NUT_CF_MMF,Minimum Meal Frequency 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/minimum-meal-frequency-6-23-months,2015,2015,2015,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_YEARSALL,Total (All ages),47.1,47.1 [44.9-49.3],44.9,49.3
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,37.6,37.6 [33.9-41.5],33.9,41.5
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS0-23,0 to 23 months,4.0,4.0 [3.2-5.1],3.2,5.1
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,5.4,5.4 [3.6-8.1],3.6,8.1
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (thousands), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-overweight-numbers-%28in-millions%29,2001,2001,2001,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,52.1,52.1 [44.4-61.3],44.4,61.3
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,1992,1992,1992,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,60.0,60.0 [53.9-65.9],53.9,65.9
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,AGEGROUP,AGEGROUP_MONTHS0-11,0 to 11 months,2.6,2.6 [1.6-4.0],1.6,4.0
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1993,1993,1993,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,0.36888833,0.4 [0.1-0.8],0.11599732,0.84513016
NUT_BF_CBF,Continued breastfeeding 12-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continued-breastfeeding-12-23-months,2005,2005,2005,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_TOTL,Total,88.4,88.4,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,23.1,23.1 [18.6-26.7],18.6,26.7
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,4.8,4.8 [3.1-7.3],3.1,7.3
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_SECONDARY,Secondary education,8.3,8.3 [5.5-12.4],5.5,12.4
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-overweight-%28-weight-for-height-2-sd%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEX,SEX_FMLE,Female,19.7,19.7 [14.3-26.4],14.3,26.4
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,1992,1992,1992,AFR,Africa,RWA,Rwanda,SEX,SEX_MLE,Male,59.4,59.4 [56.7-62.1],56.7,62.1
NUT_BF_EBF,Exclusive breastfeeding under six months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusive-breastfeeding-under-six-months,2010,2010,2010,AFR,Africa,RWA,Rwanda,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_SECONDARY,Secondary education,79.2,79.2 [68.8-86.8],68.8,86.8
